user,item,rating
977927,BD0211EN,4
352769,BD0211EN,5
1641074,ML0101ENv3,4
1442467,BD0101EN,3
1983611,ML0120ENv3,5
1110151,ML0115EN,5
1044059,BD0111EN,3
1435517,RP0101EN,3
1822813,DS0110EN,4
421575,BD0211EN,4
1303201,BD0123EN,3
1640648,DS0105EN,4
769783,BD0111EN,5
975323,ML0101ENv3,3
1355350,CO0201EN,4
1923675,DS0132EN,4
1760046,DS0101EN,4
1418783,LB0105ENv1,5
568207,ST0101EN,3
559113,ML0120ENv2,3
567724,BD0212EN,3
1381601,BD0211EN,5
1726611,CNSC02EN,4
1397055,BC0202EN,4
1179959,BD0211EN,3
991289,DV0101EN,3
626394,BD0221EN,4
1443238,CC0201EN,5
1086342,CL0101EN,3
434841,DS0301EN,3
768162,BD0111EN,4
943100,CL0101EN,4
765231,ML0115EN,3
742005,BD0153EN,5
1709063,ML0101ENv3,5
1292896,DS0101EN,4
913667,BD0211EN,5
933325,BD0111EN,5
614191,BD0131EN,3
1000388,CP0101EN,3
696085,BD0211EN,3
877386,ML0103EN,4
1888544,DS0301EN,4
1972261,BD0211EN,5
593903,DB0101EN,4
1117394,BD0111EN,5
1046164,ML0115EN,4
617847,BD0131EN,3
1173502,DS0103EN,3
1286354,DA0101EN,5
941803,SC0105EN,5
1804886,DS0301EN,3
1293062,ML0115EN,5
1095915,SC0103EN,5
1506139,DS0103EN,3
1120306,BD0115EN,3
1336198,CO0301EN,5
1071233,BD0211EN,4
306633,BD0151EN,5
722056,BD0101EN,5
1020746,ML0120ENv2,4
403404,TA0105,4
1169698,BD0212EN,3
689174,CO0201EN,3
975898,BD0101EN,3
1460064,ML0101ENv3,3
1125959,DS0101EN,4
1225500,SC0105EN,5
1304456,BD0111EN,3
2071263,CC0103EN,5
1898770,ML0103EN,4
703726,CC0103EN,3
1094338,DAI101EN,4
627076,ML0201EN,4
1801756,DV0101EN,3
1619404,DS0101EN,4
83795,DS0101EN,3
4,SC0105EN,5
1136652,DA0101EN,3
2069887,BD0123EN,4
1170672,COM001EN,3
499564,BD0101EN,4
584211,DS0301EN,3
1863214,DS0103EN,4
1864974,CC0103EN,4
1935188,RP0101EN,3
1594953,DV0101EN,5
335747,WA0101EN,5
500086,DS0103EN,3
676154,BD0101EN,4
1139965,RP0101EN,5
1134105,BD0111EN,4
1596120,PY0101EN,3
649859,BD0131EN,5
1092692,PY0101EN,4
558332,TA0105,4
536587,WA0101EN,3
1872386,BD0211EN,4
976879,BD0211EN,3
922028,BD0115EN,4
1281394,RP0101EN,5
543757,DS0101EN,4
1134285,BD0111EN,4
1399566,BD0111EN,3
1655971,CB0105ENv1,5
999839,CB0103EN,3
886495,DS0101EN,3
729693,CO0101EN,4
1173701,DS0101EN,4
649416,BD0143EN,4
546664,BD0211EN,5
1515789,BD0145EN,3
1824403,DV0101EN,3
1595093,DB0151EN,3
1572277,CB0103EN,3
2075940,ML0111EN,3
748840,BD0111EN,5
1030881,DS0101EN,5
1540761,DE0205EN,4
1003774,ST0101EN,3
1475474,PY0101EN,4
1606903,EE0101EN,3
564050,ML0115EN,5
1246812,CC0103EN,5
1013378,BD0101EN,4
626558,ST0101EN,3
1557301,DV0101EN,4
1972286,DV0101EN,3
1192779,DS0301EN,5
998498,PY0101EN,4
960985,BD0115EN,4
1952697,BC0202EN,3
523843,ML0115EN,4
928302,BD0111EN,5
894267,ML0101ENv3,3
670379,CB0103EN,5
1110735,EE0101EN,5
754359,ML0120ENv2,4
1155534,CB0103EN,5
1515446,BD0101EN,5
338995,SC0103EN,4
1803959,DS0103EN,3
740991,BD0211EN,4
768117,RP0101EN,4
1364777,CO0301EN,5
1336617,ML0109EN,4
1815349,DS0101EN,5
1028268,BD0133EN,4
738956,SC0101EN,3
882281,BD0111EN,4
664265,RP0101EN,5
1190214,DS0101EN,3
967005,BD0101EN,5
479264,SC0101EN,3
702927,BD0211EN,4
562785,ML0120ENv2,4
1262823,DA0101EN,4
1268990,PY0101EN,4
435849,BD0121EN,4
1034313,BD0111EN,4
1765238,CC0101EN,3
270881,BC0101EN,3
1029744,PY0101EN,3
435662,BD0101EN,5
1057873,ML0101ENv3,5
914504,DS0301EN,3
1004477,DS0101EN,3
1141338,ML0101ENv3,5
1618236,DS0105EN,5
935149,ML0120ENv2,4
1167683,DS0101EN,4
662672,ML0122EN,3
1386924,BD0211EN,5
707222,TA0106EN,3
586615,ML0122ENv1,3
1864411,PY0101EN,4
878609,PY0101EN,4
1323016,DS0101EN,5
1423793,BC0101EN,4
1287262,DS0321EN,3
725722,ML0122ENv1,4
965627,DB0101EN,4
1205085,CB0105ENv1,3
1612202,CC0101EN,5
1046164,BD0115EN,4
733697,PY0101EN,5
1157671,CB0103EN,5
198074,ST0101EN,3
1462674,BD0101EN,3
461221,TMP0106,3
1582653,DA0101EN,5
1404631,BD0123EN,4
1226879,BD0131EN,3
878893,BD0111EN,4
1133659,PY0101EN,3
1432073,DS0110EN,3
525591,ST0101EN,3
526671,BD0137EN,5
1375934,CC0150EN,4
1106669,BC0101EN,3
1172615,CC0101EN,3
1906128,CC0201EN,4
1370197,ML0115EN,4
330003,BD0111EN,3
1511579,CC0101EN,4
1716561,DA0101EN,4
779857,BD0101EN,5
1924156,CC0103EN,5
781236,BD0212EN,4
1816199,ML0151EN,3
962593,WA0101EN,4
738131,BD0211EN,4
350066,ML0120EN,5
1027127,ST0101EN,3
455637,DS0103EN,4
942146,DB0151EN,3
653766,BD0111EN,3
1834958,DB0101EN,4
1639710,ST0101EN,5
1251703,DS0105EN,5
1081224,BD0101EN,4
1414984,PY0101EN,5
902617,CB0103EN,5
309527,PY0101EN,3
882754,DV0151EN,4
1433455,DV0101EN,4
716543,ML0115EN,4
728690,BD0111EN,4
1265953,CO0101EN,5
1089842,DS0101EN,3
1386422,LB0107ENv1,4
781817,DS0301EN,5
750722,CO0201EN,5
588068,BD0111EN,5
1372141,DW0101EN,5
1524439,SC0103EN,4
759234,DS0321EN,3
968622,DS0105EN,5
1070847,CB0103EN,5
795402,CO0101EN,3
1982159,DV0151EN,3
1444900,BD0111EN,5
1242665,BC0101EN,3
1165918,DV0101EN,5
1118864,CB0103EN,5
1803794,ML0101ENv3,3
1077018,ST0101EN,4
1100368,PY0101EN,5
1709063,ST0101EN,3
913811,PY0101EN,5
1384042,DS0105EN,3
1669407,ML0115EN,4
196790,PY0101EN,3
1150167,CO0301EN,4
1859038,CNSC02EN,3
2014516,DS0103EN,5
1946041,PY0101EN,4
1306648,BC0101EN,3
1395227,BD0101EN,5
673320,BD0121EN,4
2057016,LB0111EN,4
491590,DS0101EN,5
456909,PY0101EN,4
936797,LB0109ENv1,5
1623406,DV0101EN,3
577402,ST0101EN,4
953589,BC0101EN,3
1179489,BD0121EN,4
1914199,CC0201EN,5
1661040,DS0101EN,4
971431,SC0101EN,3
603822,DV0101EN,4
1477003,CC0101EN,4
581840,ML0151EN,5
1489321,BD0111EN,4
628269,ML0115EN,3
1372635,CC0103EN,5
435139,DS0103EN,5
1138488,LB0111EN,4
1248888,BC0202EN,3
1711897,CC0150EN,5
758676,ML0120EN,5
1247797,DS0301EN,3
1244195,PY0101EN,5
991971,BD0101EN,3
1643311,DV0101EN,4
482318,BD0133EN,5
1368271,DA0101EN,5
1403170,ST0101EN,3
1176681,BD0111EN,3
131,SC0105EN,3
405704,DS0101EN,5
1174839,DA0101EN,4
1355793,DA0101EN,4
1565417,DS0103EN,5
1110255,CC0201EN,5
885699,BD0111EN,4
729333,DB0151EN,5
1000439,RP0101EN,4
1124017,ML0115EN,3
632338,CO0101EN,4
1408563,SECM03EN,5
333723,BD0101EN,3
1741220,PY0101EN,5
435061,ML0122EN,3
692878,WA0101EN,4
1839894,PY0101EN,3
1420153,BD0221EN,4
1364084,ML0115EN,3
775936,ML0101EN,5
1466730,ML0115EN,4
1924842,PY0101EN,5
1432250,CO0201EN,4
581840,BD0101EN,3
1308355,DS0105EN,3
964092,BD0131EN,4
698266,DS0103EN,4
1010974,ML0115EN,4
1928815,ML0151EN,3
1607159,PY0101EN,3
1799504,CNSC02EN,3
669145,DS0105EN,5
675198,BD0211EN,3
1490115,DS0103EN,3
533069,BC0101EN,4
1735604,BC0101EN,5
1442423,DV0151EN,4
1293863,DA0101EN,5
1010922,PY0101EN,4
1637233,DB0101EN,3
629595,BD0121EN,3
2081222,ML0101ENv3,5
1563084,DB0101EN,3
783740,TA0105,4
990803,CL0101EN,5
687821,BD0211EN,4
1788961,RP0101EN,3
1314620,BD0101EN,3
339918,BD0153EN,5
739825,BD0101EN,5
1614473,BD0101EN,4
1234687,CC0250EN,3
1647363,ST0101EN,5
1912444,DS0101EN,3
365677,PY0101EN,3
1606903,BC0201EN,5
754659,DS0101EN,4
991984,BC0101EN,3
1351541,DS0301EN,5
1104884,DS0101EN,4
690371,DV0151EN,4
499778,ML0101EN,4
743899,DA0101EN,4
659750,WA0101EN,4
1625100,DS0101EN,3
1361973,DS0101EN,5
1607000,ML0201EN,4
1143235,BD0111EN,3
1129990,CO0301EN,4
1908131,BD0141EN,5
1025162,DA0101EN,4
151817,PY0101EN,3
935449,PY0101EN,4
1246874,BC0202EN,4
1664611,PY0101EN,4
1103263,BC0201EN,4
1360096,BD0145EN,3
1008494,DJ0101EN,3
1464410,ML0120ENv2,5
985974,DA0101EN,3
740937,BD0141EN,4
1462875,BD0141EN,4
724934,BD0111EN,5
740639,BD0111EN,3
434785,BD0111EN,5
899507,BC0201EN,3
1092019,DS0105EN,5
1956703,CO0301EN,3
1531700,CB0103EN,3
1398608,ML0120ENv2,3
1133967,DV0101EN,5
766456,ML0151EN,4
1202297,BD0101EN,3
1546100,CC0101EN,3
686526,DS0103EN,4
793213,RP0101EN,5
1109440,BD0101EN,3
765972,DS0101EN,5
1223038,CO0101EN,4
971636,ML0115EN,3
714205,DS0105EN,5
1882685,BD0143EN,5
1190641,CO0401EN,5
933043,PY0101EN,3
792652,BD0223EN,5
1387355,DS0105EN,3
1395227,BD0211EN,3
989198,CO0201EN,5
913729,BD0153EN,3
875218,CB0103EN,3
559205,CO0201EN,5
1218642,SC0101EN,5
973198,ML0103EN,3
1881150,BC0101EN,5
630065,RP0101EN,4
1349271,BD0223EN,3
1488391,DA0101EN,3
1053103,ST0101EN,5
484628,RP0151EN,4
588657,BD0143EN,5
1359015,DV0101EN,4
565102,CB0103EN,5
1480870,DS0103EN,3
490636,BD0115EN,5
717373,DS0105EN,5
1128046,DS0103EN,4
97915,BD0212EN,3
1085474,DS0103EN,3
1637542,PY0101EN,3
937474,RP0105EN,4
1470747,BD0101EN,5
1990648,DS0301EN,4
484219,BD0143EN,5
1634318,BD0141EN,4
1752327,CB0103EN,4
1308584,CO0401EN,5
573047,DS0105EN,3
910687,PY0101EN,4
1032789,CO0201EN,5
1547751,BC0201EN,5
1058407,BC0201EN,3
1137578,BD0101EN,5
1676221,DV0101EN,3
1524677,ML0103EN,4
704385,ML0151EN,3
1303496,DA0101EN,3
1008779,DS0105EN,5
681553,ML0115EN,3
1805028,CB0103EN,4
1913200,BD0101EN,4
1160324,DS0103EN,3
997238,PY0101EN,5
1123092,BD0111EN,3
746163,DW0101EN,5
1219877,CC0101EN,5
1866295,HCC105EN,3
435901,BD0115EN,3
511689,BC0201EN,4
1089909,RP0105EN,5
628283,CO0101EN,5
700894,DA0101EN,5
1452915,BD0121EN,4
1078494,DS0301EN,3
502979,DS0101EN,3
31054,ST0101EN,4
885092,ML0103EN,3
762884,DS0101EN,5
318484,PA0101EN,3
1165822,CB0103EN,3
418513,SC0101EN,3
1072289,BD0101EN,4
1200150,PY0101EN,4
1178914,BD0141EN,5
985195,DS0105EN,3
80596,RP0101EN,4
784385,DS0103EN,5
1188951,DS0105EN,4
1181837,DS0301EN,5
547256,PY0101EN,3
744158,BD0211EN,5
999442,DS0101EN,4
1048799,ML0115EN,5
1199232,PY0101EN,3
603316,BD0212EN,3
1809231,CNSC02EN,3
1124965,CL0101EN,3
1447034,BD0101EN,5
625486,BC0101EN,4
740056,DV0101EN,3
1656573,DS0101EN,5
642668,BD0111EN,3
1797358,DAI101EN,3
1211263,CO0401EN,5
1481079,BD0101EN,3
1859886,ML0120ENv2,3
1074167,BC0101EN,3
435448,BD0111EN,5
429440,BD0153EN,4
1634307,CC0210EN,3
725193,DS0101EN,4
1194746,BD0101EN,3
1149475,PY0101EN,5
1359015,ML0103EN,5
1937622,PY0101EN,4
2068100,DS0105EN,5
505354,BC0101EN,3
1251362,ST0101EN,4
622174,BD0141EN,3
202693,BD0137EN,4
1518883,PY0101EN,3
886610,ML0122EN,3
385112,DS0103EN,5
2018224,CC0201EN,3
1682833,SC0105EN,5
781236,BD0115EN,4
1106669,ML0115EN,5
1329786,DS0101EN,3
33565,PA0101EN,3
692874,BD0101EN,5
1530083,DS0101EN,4
1047378,CO0101EN,4
1654039,BD0141EN,3
1869409,DV0101EN,5
1071685,CB0103EN,4
1252747,CC0101EN,3
585136,CO0101EN,3
1667430,DS0101EN,5
1270346,CC0103EN,4
991971,BC0101EN,5
1143692,ML0122ENv1,4
1460396,BD0211EN,5
511324,DS0101EN,5
793722,DS0101EN,3
1684405,CB0103EN,4
591491,DS0105EN,4
1796823,CO0101EN,4
1017600,CO0101EN,4
431196,BD0101EN,4
1186616,BC0201EN,3
1619241,BC0201EN,3
86548,DS0105EN,5
1060484,CL0101EN,5
1202989,BC0201EN,3
661276,BD0111EN,4
1056083,BD0101EN,3
1152766,BD0111EN,5
882940,DA0101EN,3
753503,RP0101EN,5
1033530,RP0103EN,4
710669,BD0111EN,4
262937,DS0105EN,5
1803693,DS0105EN,5
1902951,DS0103EN,4
1434413,DS0103EN,5
733697,BD0115EN,4
501429,BD0143EN,5
1865496,BD0211EN,5
1366432,BD0101EN,3
883965,ML0103EN,4
976840,DS0101EN,4
920511,BD0153EN,4
1410349,BD0101EN,4
1803839,ML0115EN,4
733479,DS0101EN,4
318522,ML0120ENv2,5
1568914,DS0105EN,4
1896822,CC0201EN,4
1756385,DS0101EN,3
1045257,CO0201EN,3
1359644,DV0151EN,5
574346,ML0120EN,3
913209,BD0131EN,3
1639508,BD0101EN,4
1324161,CL0101EN,4
512233,DS0101EN,4
965327,CO0101EN,5
635051,BD0211EN,4
1237093,BD0101EN,5
1233226,ML0101ENv3,4
1284647,DS0101EN,3
1170505,ML0101ENv3,4
143871,SC0101EN,3
1630530,CB0103EN,5
514171,DS0101EN,4
1855544,BD0212EN,5
680290,ST0101EN,5
2033707,DS0101EN,3
1803882,DS0110EN,5
476115,ML0151EN,3
1669829,SW0101EN,3
742107,BD0101EN,4
130217,ML0101ENv3,4
566684,BD0101EN,4
2003698,HCC104EN,4
1041497,DV0101EN,5
161857,CP0101EN,3
1694656,LB0107ENv1,3
1441856,ML0120ENv2,3
1606925,DV0151EN,3
1294992,SC0101EN,4
1369147,ST0101EN,4
712885,RP0101EN,3
1242906,SC0101EN,5
903819,BD0111EN,4
1116149,CO0201EN,3
661258,BD0111EN,3
271779,BD0141EN,5
1406259,BD0111EN,3
1696355,ML0101ENv3,3
1554651,ST0101EN,4
903418,DS0101EN,5
1573412,ML0109EN,5
261799,CC0201EN,5
1148436,BC0101EN,5
370964,BD0111EN,4
633297,ML0120EN,5
1323068,DS0101EN,4
663345,ML0115EN,3
1913091,DS0101EN,3
936714,DS0301EN,4
1146951,CC0101EN,5
1190897,DS0101EN,5
1428149,LB0103ENv1,4
1861692,ML0101ENv3,3
1189837,CO0101EN,3
1278041,DS0105EN,3
721890,BD0111EN,5
781236,BD0153EN,5
964897,CP0101EN,5
388971,CB0103EN,4
1948779,ST0101EN,4
1442423,BD0101EN,5
1020494,BC0101EN,3
1072921,CL0101EN,5
1049931,LB0109ENv1,5
202365,BD0123EN,5
1101246,CO0201EN,4
503793,ML0101EN,5
273299,BD0131EN,4
1748286,PY0101EN,3
335747,BD0131EN,3
578201,BD0101EN,5
518400,DS0101EN,3
976899,BD0137EN,3
260271,BD0123EN,3
137278,DS0105EN,3
1583498,DE0205EN,3
503135,ML0109EN,3
1803286,DS0101EN,3
1993870,DV0101EN,5
323544,BD0111EN,4
928030,SC0103EN,5
748999,DS0101EN,4
684125,DA0101EN,4
1430577,CO0201EN,4
282369,ST0101EN,3
624474,BD0141EN,5
1616774,DW0101EN,5
1030736,LB0111EN,3
1019171,DV0101EN,3
657897,CO0401EN,5
1135031,RP0101EN,4
1196068,BC0101EN,4
556714,BD0115EN,5
1274130,ML0101ENv3,5
753853,CC0103EN,4
627202,BD0111EN,4
1284076,DV0101EN,5
1007604,CO0101EN,5
630826,PA0101EN,3
946494,CO0201EN,5
920848,DS0103EN,5
773092,BD0111EN,5
1170643,SW0201EN,3
1159682,PHPM002EN,3
1041527,BD0123EN,4
741937,DV0101EN,5
581902,ML0103EN,4
588900,ML0101ENv3,4
604931,BD0101EN,5
1939680,LB0101ENv1,4
1235534,DA0101EN,3
1209440,PY0101EN,4
1643965,ML0109EN,3
1776673,DB0151EN,4
709659,BD0121EN,5
1185958,BC0201EN,4
1897212,DS0105EN,3
1272956,PY0101EN,4
1453546,PY0101EN,4
686093,TA0106EN,5
476914,SC0101EN,4
1109401,DS0105EN,4
1164306,DS0301EN,4
99234,BD0211EN,5
649858,RP0103EN,5
2026749,BD0101EN,3
371651,DS0103EN,3
609668,DS0101EN,3
1523042,DS0101EN,5
484219,BD0123EN,3
1108226,ML0151EN,4
914985,ML0101ENv3,4
761704,DA0101EN,5
534359,ML0101ENv3,3
1813704,BD0145EN,4
881274,CC0103EN,5
829047,BD0211EN,3
314768,BD0111EN,5
1132523,BD0111EN,4
905449,ML0103EN,5
69124,BD0223EN,4
683675,BD0131EN,4
882971,DV0101EN,5
903467,BD0101EN,5
1233961,BD0111EN,4
1503639,LB0105ENv1,3
682103,ST0101EN,5
191776,BD0143EN,5
306633,BD0141EN,4
1508763,ST0101EN,4
1325409,LB0105ENv1,5
1215855,DS0301EN,3
1759169,DS0110EN,4
1064889,ST0101EN,4
1025658,ST0101EN,3
1117599,CB0105ENv1,4
1862999,DS0101EN,3
556288,ML0120EN,4
755567,ML0115EN,5
741051,ST0101EN,4
1408755,PY0101EN,5
451631,BD0121EN,3
1628689,CB0105ENv1,3
666405,RP0103,4
1466125,BD0101EN,3
1022288,ML0101ENv3,5
1076483,BD0143EN,3
1767837,CP0101EN,5
1200123,DA0101EN,5
1164998,DS0103EN,5
272723,DV0151EN,3
1235490,BD0101EN,3
1060243,DB0101EN,5
1493228,RP0101EN,3
1128878,BD0101EN,3
548370,RP0105EN,3
969827,ST0101EN,4
510528,DS0101EN,5
1408143,BD0101EN,3
675694,BD0111EN,3
716216,CB0103EN,5
1676365,DS0105EN,5
268796,BD0212EN,4
183396,WA0101EN,5
1513254,DV0151EN,5
693363,DA0101EN,5
1290106,BC0101EN,5
555619,DS0301EN,4
1396812,BD0115EN,4
635947,DS0101EN,4
1488020,ML0120ENv2,5
977400,ML0103EN,4
1197531,BD0111EN,3
1941144,CC0101EN,5
1405175,RP0101EN,4
665157,DS0321EN,4
2012091,DS0301EN,4
1404458,BD0111EN,5
1788961,DS0103EN,3
1324721,PY0101EN,5
1459524,DS0101EN,5
1327846,PY0101EN,3
1634318,BD0211EN,5
1017401,DS0103EN,3
1127996,BC0101EN,5
694381,BD0101EN,4
419518,TMP0105EN,3
1588102,BD0143EN,5
755766,DS0321EN,4
886267,PY0101EN,5
407181,ML0115EN,5
644270,BD0131EN,4
1222425,PY0101EN,5
1388315,ML0201EN,3
1769030,PY0101EN,4
1386473,DS0301EN,4
1600215,ML0120ENv2,5
729267,ML0122ENv1,5
1012812,BD0101EN,4
661906,BD0101EN,5
1063555,LB0101ENv1,3
1228215,BD0212EN,3
751859,BD0211EN,5
1887657,ST0101EN,5
1736287,PY0101EN,4
1056046,ML0115EN,5
1457820,BD0101EN,4
1448869,CC0210EN,3
777213,BD0211EN,5
1778880,DB0151EN,3
1396603,DS0301EN,5
1151153,PY0101EN,5
1595706,BD0111EN,3
708107,DV0151EN,4
635946,BD0223EN,3
1121321,BC0202EN,3
668185,DS0103EN,4
966553,CL0101EN,4
1842254,BD0101EN,5
698198,BD0101EN,4
667338,DS0101EN,3
905177,BD0123EN,3
305112,BD0121EN,5
1457938,CO0401EN,3
1744370,BD0143EN,5
473627,BD0115EN,3
708081,BD0101EN,4
924456,ML0101EN,5
674261,DB0151EN,3
1179489,PY0101EN,3
1083096,DS0105EN,3
649822,RP0101EN,3
1614425,RP0101EN,3
736922,BD0101EN,4
58969,BD0123EN,5
1436918,BD0101EN,3
1705622,ML0115EN,3
352769,WA0101EN,4
227280,RP0151EN,3
1477198,ML0101ENv3,5
1473005,PA0101EN,3
763898,DS0101EN,3
727569,TA0105,3
177666,DV0101EN,4
694311,CB0103EN,4
555965,CB0103EN,3
556013,BD0111EN,3
1540761,LB0109ENv1,4
513169,BD0141EN,5
1213254,BD0101EN,3
1225579,BD0101EN,5
1508120,BD0101EN,3
662862,BD0111EN,5
1228296,DS0110EN,4
1540436,BD0101EN,3
1025101,DAI101EN,5
777234,BD0211EN,5
1020982,DS0101EN,4
1448907,TA0105EN,5
516039,DS0103EN,5
1655994,DS0101EN,5
635967,ML0101EN,5
738642,DS0101EN,3
922120,PA0101EN,4
1911178,BC0201EN,4
544003,PA0101EN,4
1074167,CC0101EN,3
680200,BD0111EN,3
193528,BD0133EN,5
758009,BD0101EN,5
1445355,DV0151EN,5
1017760,ML0115EN,5
925668,LB0105ENv1,4
775719,BD0211EN,5
1199232,AI0111EN,3
1058789,DS0101EN,3
282483,BD0101EN,4
1993535,DS0101EN,4
901204,BD0212EN,3
795266,DS0105EN,4
676243,BD0131EN,3
893846,DA0101EN,4
215694,SC0101EN,4
1844333,RP0101EN,5
754039,ML0115EN,3
510391,DS0101EN,3
685677,BC0101EN,5
238576,CC0103EN,3
511794,DS0101EN,5
920594,BD0143EN,4
647181,BD0115EN,5
907789,ML0151EN,5
662476,BD0101EN,4
1337140,DV0101EN,4
1476322,DB0101EN,5
532392,BD0137EN,3
1352486,ML0115EN,4
632127,BD0101EN,5
1178914,DS0105EN,5
637400,DV0101EN,3
299962,BD0141EN,4
1978886,DS0105EN,5
1067116,CC0201EN,3
1917785,ML0103EN,5
302463,BD0211EN,3
483744,SC0101EN,5
1174018,ML0115EN,3
669070,CO0201EN,4
755144,ML0101EN,3
1786869,BC0201EN,3
942588,CO0101EN,5
1226982,BD0101EN,3
1009619,BD0101EN,3
1288526,CC0101EN,3
675198,BD0101EN,4
998254,CC0103EN,3
1306409,SC0101EN,4
1465879,DA0101EN,4
1051886,EE0101EN,5
903040,PY0101EN,4
741383,BD0101EN,4
1264394,DV0151EN,4
1399434,DS0101EN,3
1641942,DA0101EN,4
1326839,PY0101EN,4
1889740,CC0201EN,5
371651,DS0101EN,4
710085,CO0101EN,3
1540840,DA0101EN,3
1238363,DV0101EN,4
1128080,BC0101EN,3
367229,RP0101EN,5
698476,DA0101EN,3
1832901,BC0201EN,5
1321110,ML0109EN,3
647788,DS0105EN,4
1824353,DW0101EN,4
1471844,ML0103EN,5
1990814,SC0105EN,5
1695287,HCC104EN,3
676154,DS0101EN,5
1096356,PY0101EN,4
1803088,BD0101EN,4
726047,CB0105ENv1,3
1403485,BD0212EN,4
598351,ML0120EN,4
1308496,PY0101EN,3
953759,BD0111EN,4
1342226,DS0105EN,5
1210128,CC0250EN,3
1693325,CNSC02EN,3
1428860,DS0110EN,5
576939,EE0101EN,5
1382682,IT0101EN,4
1575014,PY0101EN,4
1629954,DV0101EN,3
876701,CO0101EN,3
1841276,ST0101EN,5
1342226,CC0271EN,4
1321818,BD0111EN,3
1538705,LB0103ENv1,3
1168590,ST0101EN,5
1397001,BD0101EN,4
1177081,SC0103EN,3
1375673,BD0111EN,4
920759,ML0122ENv1,5
1069797,DA0101EN,3
624322,BD0111EN,5
1142206,ML0151EN,4
1080118,ML0120ENv2,4
742251,BD0111EN,5
391562,ML0101ENv3,5
609099,ML0120EN,3
1039450,ML0101ENv3,5
579324,SC0101EN,5
934989,ML0122ENv1,5
955403,BD0211EN,3
1006527,BD0221EN,4
778453,ML0101EN,4
669108,RP0101EN,5
687810,BD0115EN,3
2044470,ST0101EN,5
1028921,LB0101ENv1,4
1081323,DS0101EN,5
745910,BD0131EN,4
1595510,ML0120ENv2,5
895183,BC0201EN,3
1751570,ML0115EN,4
308025,BC0201EN,4
1366111,BD0211EN,4
533069,PY0101EN,5
948421,DS0105EN,4
1048243,LB0103ENv1,3
1341010,ML0101ENv3,5
1544414,DA0101EN,4
1308752,TA0105EN,5
1434587,CC0103EN,3
950724,DS0101EN,3
1012551,DV0101EN,3
1056683,CB0103EN,5
1044882,ML0115EN,4
701548,BD0101EN,4
212424,CO0101EN,5
1106469,RP0101EN,5
1340444,BD0131EN,3
967273,CL0101EN,3
998510,PY0101EN,3
959171,PY0101EN,3
649110,ML0101EN,4
642407,BD0121EN,3
1832099,BC0201EN,3
1061755,CC0201EN,4
937163,BD0101EN,3
1059132,BD0211EN,5
950365,PY0101EN,4
690929,BC0201EN,3
985075,LB0101ENv1,3
1847194,DA0101EN,4
1240303,BC0101EN,4
1251410,PY0101EN,5
456369,BD0141EN,5
1542763,CC0201EN,3
1209970,DS0105EN,3
1646041,DV0101EN,5
2030087,DV0101EN,4
1697555,DS0101EN,3
1802939,DS0301EN,3
1519898,CC0101EN,5
581446,BD0153EN,5
4,BD0153EN,3
974378,ML0115EN,3
894631,ML0151EN,3
1742475,BD0101EN,5
1105895,BD0101EN,5
405183,BD0111EN,3
549622,RP0101EN,5
1351648,CO0101EN,3
1269598,DV0101EN,4
1324233,BC0101EN,5
1756591,SC0105EN,5
994267,DS0101EN,4
948769,DV0151EN,5
